"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6e40mgJiCid5HRAGrbpGA6","I Want It That Way","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:1NslKOZobWxINFaFkLol3r","The Hits--Chapter One","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","2001-10-23","https://i.scdn.co/image/ab67616d0000b273c2f0d820b1113f9a243fb973","1","1","213600","https://p.scdn.co/mp3-preview/e72a05dc3f69c891e3390c3ceaa77fad02f6b5f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:sgpilkington","2019-06-17T22:13:32Z"
"spotify:track:62bOmKYxYg7dhrC6gH9vFn","Bye Bye Bye","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:20RMokVwJ2wjQ0s8FOdOFC","No Strings Attached","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2000-03-21","https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909","1","1","200400","https://p.scdn.co/mp3-preview/72b91cb27fac7beb50a2deffdd8b821fba5ba950?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:sgpilkington","2019-06-17T22:15:10Z"
"spotify:track:3MjUtNVVq3C8Fn0MP3zhXa","...Baby One More Time","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:3WNxdumkSMGMJRhEgK80qx","...Baby One More Time (Digital Deluxe Version)","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","1999-01-12","https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02","1","1","211066","https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:sgpilkington","2019-06-17T22:15:40Z"
"spotify:track:1Je1IMUlBXcx1Fz0WE7oPT","Wannabe","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","spotify:album:3x2jF7blR6bFHtk4MccsyJ","Spice","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","1996-01-01","https://i.scdn.co/image/ab67616d0000b273fb59d692d3d66bcd3768a237","1","1","173026","","false","81","spotify:user:sgpilkington","2019-06-17T22:16:06Z"
"spotify:track:11mwFrKvLXCbcVGNxffGyP","Genie In a Bottle","spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","Christina Aguilera","spotify:album:6fpPZS13ImRVpr7Tqs6yP9","Christina Aguilera (Expanded Edition)","spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","Christina Aguilera","1999","https://i.scdn.co/image/ab67616d0000b273f89996e214be1763b2a9e948","1","1","217573","https://p.scdn.co/mp3-preview/31c45c1e2951c7713b67a91299d3da369f502c75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:sgpilkington","2019-06-17T22:17:09Z"
"spotify:track:6naxalmIoLFWR0siv8dnQQ","Oops!...I Did It Again","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:5PmgtkodFl2Om3hMXONDll","Oops!... I Did It Again","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2000-05-16","https://i.scdn.co/image/ab67616d0000b2732aa20611c7fb964a74ab01a6","1","1","211160","https://p.scdn.co/mp3-preview/7fb86827422540ad01f65870375fef055412f034?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:sgpilkington","2019-06-17T22:19:23Z"
"spotify:track:5WTxbyWTpoqhdxEN2szOnl","Everybody (Backstreet's Back) - Extended Version","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:0wvQovgaVU99eqw8n3g22S","Backstreet Boys","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1996","https://i.scdn.co/image/ab67616d0000b273dafd4b9261a1ab9acd53a53d","1","4","287293","https://p.scdn.co/mp3-preview/ee2f717ca070fef7efe0080653548420a24b7d57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:sgpilkington","2019-06-17T22:20:02Z"
"spotify:track:3SPDQfj2UfWq6A2NllZnzn","What Makes You Beautiful","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:53DrBEDi1AvhWOtCdljUiu","Up All Night","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2012-05-25","https://i.scdn.co/image/ab67616d0000b273fd20e3d8ad722ecc509c3324","1","1","198053","","false","2","spotify:user:sgpilkington","2019-06-17T22:23:43Z"
"spotify:track:1fZLxH4ZgYUheWh6fYQse9","I Need a Hero","spotify:artist:5L5RItTJGugQ0PRfK7bcaR","Giada Monteleone","spotify:album:6OqA63LXjnULe9Lqp4MaJT","Le tagliatelle di nonna Pina","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-03-16","https://i.scdn.co/image/ab67616d0000b2730c668e633e97ac948906835d","1","12","236893","https://p.scdn.co/mp3-preview/145ed42afb2e20ef8c90a02389f89e9e061572fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:sgpilkington","2019-06-17T22:25:35Z"
"spotify:track:4WUnM4KNZ0kjp0CUeoyOnS","I Swear","spotify:artist:1B8ySGDAiXTCvnJNH4HSCG","All-4-One","spotify:album:4L5ZA0GukWNWjsk9b7HHDy","All-4-One","spotify:artist:1B8ySGDAiXTCvnJNH4HSCG","All-4-One","1994-01-01","https://i.scdn.co/image/ab67616d0000b2730a23b37b281f5dad95dda57d","1","4","259853","https://p.scdn.co/mp3-preview/4bbcac2464fbcb629b62186a9884e9caa402735f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:sgpilkington","2019-06-17T22:25:57Z"
"spotify:track:1RC5Mb0VhnlhnMlFDnrvE0","I'm A Believer - Radio Edit","spotify:artist:2iEvnFsWxR0Syqu2JNopAd","Smash Mouth","spotify:album:0E0q3hPeALlDvoDvYztYeH","Smash Mouth","spotify:artist:2iEvnFsWxR0Syqu2JNopAd","Smash Mouth","2001-01-01","https://i.scdn.co/image/ab67616d0000b273e271723e2054ba24d0b06075","1","13","183400","","false","62","spotify:user:sgpilkington","2019-06-17T22:34:41Z"
"spotify:track:6sbXGUn9V9ZaLwLdOfpKRE","Larger Than Life","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","1","232826","https://p.scdn.co/mp3-preview/740ac3a10a01431d8b00bcb3134c7c7feb0b61ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:sgpilkington","2019-06-17T22:53:20Z"
"spotify:track:1Rvl8qsKJurfFTyWLBI9ib","Baby, I Love Your Way","spotify:artist:0Jeckitay8SbvKwqAzWuYH, spotify:artist:32ckuKo8LrZhQMyCehYKkt","Big Mountain, Tom Lord-Alge","spotify:album:4QHFXQLRwZx5122InHluo5","The Best Of Big Mountain","spotify:artist:0Jeckitay8SbvKwqAzWuYH","Big Mountain","1994","https://i.scdn.co/image/ab67616d0000b2738dad961673a82ade27f202a8","1","1","249520","https://p.scdn.co/mp3-preview/2088ffea2a54124e1e4e5e195303251f401c796f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:sgpilkington","2019-06-17T23:10:18Z"
"spotify:track:6u0CNXqIBQJa6iYcFgFU9k","Fairy Godmother Song","spotify:artist:4yLw4gWrQFMtgQXVyB0n2o","Jennifer Saunders","spotify:album:009d83fu2guwouIwqr7i9E","Shrek 2 (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2004-05-19","https://i.scdn.co/image/ab67616d0000b273a895c616f899f06429bc8b4f","1","12","112373","","false","0","spotify:user:sgpilkington","2019-06-19T22:49:30Z"
"spotify:track:0rmGAIH9LNJewFw7nKzZnc","You Give Love A Bad Name","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:0kBfgEilUFCMIQY5IOjG4t","Slippery When Wet","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","1986-08-16","https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac","1","2","222706","","false","82","spotify:user:sgpilkington","2019-07-09T06:45:41Z"
"spotify:track:2AW37v0bDyuOzGP3XnmFuA","It's Gonna Be Me","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","spotify:album:20RMokVwJ2wjQ0s8FOdOFC","No Strings Attached","spotify:artist:6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","2000-03-21","https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909","1","2","192426","https://p.scdn.co/mp3-preview/f9716f83d213f049a29f866eb00efd372e49e557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:sgpilkington","2020-02-17T06:36:51Z"
"spotify:track:1eOHw1k2AoluG4VyjBHLzX","Everytime We Touch","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","spotify:album:6lKJ28PcwG7lPfBZss1RZG","Everytime We Touch","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","2006-02-21","https://i.scdn.co/image/ab67616d0000b273093c0143d65442cc4d8affd6","1","1","196466","","false","42","spotify:user:sgpilkington","2020-02-18T21:15:04Z"
"spotify:track:6FB3v4YcR57y4tXFcdxI1E","I Knew You Were Trouble.","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4jTYApZPMapg56gRycOn0D","Red (Big Machine Radio Release Special)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2012-10-22","https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec","1","8","219720","","false","79","spotify:user:sgpilkington","2020-05-04T16:51:24Z"
"spotify:track:0VwNdo84DaVYLIkbVO86ND","We Are Never Ever Getting Back Together","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4jTYApZPMapg56gRycOn0D","Red (Big Machine Radio Release Special)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2012-10-22","https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec","1","16","193146","","false","78","spotify:user:sgpilkington","2020-05-04T16:51:28Z"
"spotify:track:6ce41JVa6KFaryfmC2bu2W","22","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4jTYApZPMapg56gRycOn0D","Red (Big Machine Radio Release Special)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2012-10-22","https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec","1","12","232120","","false","73","spotify:user:sgpilkington","2020-05-04T16:51:30Z"
"spotify:track:0JcKdUGNR7zI4jJDLyYXbi","Stuck Like Glue","spotify:artist:0hYxQe3AK5jBPCr5MumLHD","Sugarland","spotify:album:6tRJWFLsUW4HuiXHlOSnwf","The Incredible Machine","spotify:artist:0hYxQe3AK5jBPCr5MumLHD","Sugarland","2010-01-01","https://i.scdn.co/image/ab67616d0000b273a5eb87ae91a4e2235c8fec75","1","3","247586","","false","67","spotify:user:sgpilkington","2020-05-04T16:51:34Z"
"spotify:track:4xInIiKipU1mtUogJ3ZdYr","American Honey","spotify:artist:32WkQRZEVKSzVAAYqukAEA","Lady A","spotify:album:3hnGcNi8oqGdwTm3CeniFA","Need You Now","spotify:artist:32WkQRZEVKSzVAAYqukAEA","Lady A","2010-01-01","https://i.scdn.co/image/ab67616d0000b2733a2cc6c5cdd9f07a95efa51b","1","3","224866","","false","66","spotify:user:sgpilkington","2020-05-04T16:51:38Z"
"spotify:track:7aMftpNNJiQj1c2rllc8Dk","Welcome To New York","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:6EsTJnpahwW6xX20zvqQgZ","1989 (Big Machine Radio Release Special)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2014-10-27","https://i.scdn.co/image/ab67616d0000b2730432bfd9e6adb616fd8bcc97","1","2","212600","","false","40","spotify:user:sgpilkington","2020-05-04T16:52:04Z"
"spotify:track:1RvQQGwaPipiNgz8RXAKA8","Red","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1KlU96Hw9nlvqpBPlSqcTV","Red (Deluxe Edition)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2012-10-22","https://i.scdn.co/image/ab67616d0000b273a7613d346501b828b56a0bc3","1","2","220826","","false","61","spotify:user:sgpilkington","2020-05-04T16:52:45Z"
"spotify:track:6LZaxlycSWrJZ4Volb25qx","Mine","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5EpMjweRD573ASl7uNiHym","Speak Now (Deluxe Edition)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2010-10-25","https://i.scdn.co/image/ab67616d0000b2732e4ec3175d848eca7b76b07f","1","1","230706","","false","59","spotify:user:sgpilkington","2020-05-04T16:53:20Z"
"spotify:track:1q8E1FfFuhd12c5JcJwPxQ","Sparks Fly","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5EpMjweRD573ASl7uNiHym","Speak Now (Deluxe Edition)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2010-10-25","https://i.scdn.co/image/ab67616d0000b2732e4ec3175d848eca7b76b07f","1","2","260933","","false","60","spotify:user:sgpilkington","2020-05-04T16:53:35Z"
"spotify:track:5yEPktRqvIhko5QFF3aBhQ","Mean","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5MfAxS5zz8MlfROjGQVXhy","Speak Now","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2010-10-25","https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015","1","6","237733","","false","66","spotify:user:sgpilkington","2020-05-04T16:53:51Z"
"spotify:track:2ythurkTtSiyfK7GprJoFW","Better Than Revenge","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5MfAxS5zz8MlfROjGQVXhy","Speak Now","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2010-10-25","https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015","1","10","217160","","false","58","spotify:user:sgpilkington","2020-05-04T16:54:05Z"
"spotify:track:6Eu31gddWw0gOGO506pJYA","Fearless","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2dqn5yOQWdyGwOpOIi9O4x","Fearless","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2008-11-11","https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc","1","1","241986","","false","65","spotify:user:sgpilkington","2020-05-04T16:54:11Z"
"spotify:track:3GCL1PydwsLodcpv0Ll1ch","You Belong With Me","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2dqn5yOQWdyGwOpOIi9O4x","Fearless","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2008-11-11","https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc","1","6","231133","","false","73","spotify:user:sgpilkington","2020-05-04T16:54:19Z"
"spotify:track:5P4wWhUYWM0IaVYLuZxdar","The Way I Loved You","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2dqn5yOQWdyGwOpOIi9O4x","Fearless","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2008-11-11","https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc","1","10","244226","","false","66","spotify:user:sgpilkington","2020-05-04T16:54:32Z"
"spotify:track:18MgKbBjaSx945uICNj0Ie","What Makes You Different (Makes You Beautiful) - Originally Performed By The Backstreet Boys","spotify:artist:1UNVJFSDvwWjoRoQGDgorD","B the Star","spotify:album:0abifmMtNdxgW7qPrCIYaU","40 Super Hits Karaoke: Ultimate Hits","spotify:artist:1UNVJFSDvwWjoRoQGDgorD","B the Star","2011-04-05","https://i.scdn.co/image/ab67616d0000b27324b4dfc88d75ee2b1197303d","1","16","216372","https://p.scdn.co/mp3-preview/3096dc89ae62350484139514e24ab84729a7805d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:sgpilkington","2020-05-07T19:35:16Z"
"spotify:track:2Gy3XMLbBxACZ4tXdFRGr7","Pontoon","spotify:artist:3CygdxquGHurS7f9LjNLkv","Little Big Town","spotify:album:5IIYlM5tjDtW3fIgOIA5TB","Tornado","spotify:artist:3CygdxquGHurS7f9LjNLkv","Little Big Town","2013-01-01","https://i.scdn.co/image/ab67616d0000b273293f8670a31be4d4327dc0f6","1","2","212320","","false","67","spotify:user:sgpilkington","2020-05-08T04:32:01Z"
"spotify:track:3z0a8G407NbxfjTRffvQiP","Better Dig Two","spotify:artist:75FnCoo4FBxH5K1Rrx0k5A","The Band Perry","spotify:album:4oXEoK7WVM1lNbmB59IrJ1","Pioneer","spotify:artist:75FnCoo4FBxH5K1Rrx0k5A","The Band Perry","2013-01-01","https://i.scdn.co/image/ab67616d0000b27379c820d2d853c756c3738d39","1","1","194680","","false","58","spotify:user:sgpilkington","2020-05-08T04:32:05Z"
"spotify:track:4kY7rYtE4OQkJNq22OIYRI","Downtown","spotify:artist:32WkQRZEVKSzVAAYqukAEA","Lady A","spotify:album:254bcFt3AV1O2B121GFD9S","Golden","spotify:artist:32WkQRZEVKSzVAAYqukAEA","Lady A","2013-01-01","https://i.scdn.co/image/ab67616d0000b273bbd2503ed391845c8e36a736","1","4","195866","","false","69","spotify:user:sgpilkington","2020-05-08T04:32:09Z"
"spotify:track:0f73zOCdBx6ZPdiBjwN1AP","Little White Church","spotify:artist:3CygdxquGHurS7f9LjNLkv","Little Big Town","spotify:album:2o5oFGiGkykZs6qU6274Af","The Reason Why","spotify:artist:3CygdxquGHurS7f9LjNLkv","Little Big Town","2010-01-01","https://i.scdn.co/image/ab67616d0000b2737c3df3fa4c6effeb6737362f","1","6","186224","","false","59","spotify:user:sgpilkington","2020-05-08T04:32:28Z"
"spotify:track:6olKv2HP3XgBpvVxAswowe","Bartender","spotify:artist:32WkQRZEVKSzVAAYqukAEA","Lady A","spotify:album:1JHNRou038CfCC0RZztDz8","747","spotify:artist:32WkQRZEVKSzVAAYqukAEA","Lady A","2014-09-30","https://i.scdn.co/image/ab67616d0000b273228954c1b2b3ee5e31031e68","1","2","198266","","false","65","spotify:user:sgpilkington","2020-05-09T03:38:33Z"
"spotify:track:6aNy9Afzm7Fi6ysMskocBf","Country Girl (Shake It For Me)","spotify:artist:0BvkDsjIUla7X0k6CSWh1I","Luke Bryan","spotify:album:5zqme5HHaQXfVwIl8SMs5W","Tailgates & Tanlines","spotify:artist:0BvkDsjIUla7X0k6CSWh1I","Luke Bryan","2011-01-01","https://i.scdn.co/image/ab67616d0000b27319f8cf50f687509a5bbcc5b4","1","1","225560","","false","66","spotify:user:sgpilkington","2020-05-09T03:39:26Z"
